config,nRuns,nSuccess,successRate,nEpisodes,nAbort,abortRate,abortCollisionShare
TRPO_default,5,5,1,155,0,0,0
SAC_default,5,2,0.4,155,93,0.6,0.333333333333333
PPO_default,5,1,0.2,155,124,0.8,0.25
