config,nRuns,nSuccess,successRate,nEpisodes,nAbort,abortRate,abortCollisionShare
TRPO_default,5,5,1,155,0,0,0
SAC_default,5,3,0.6,155,62,0.4,0
PPO_default,5,1,0.2,155,124,0.8,0.443548387096774
