config,nRuns,nSuccess,successRate,nEpisodes,nAbort,abortRate,abortCollisionShare
TRPO_default,5,5,1,155,0,0,0
PPO_default,5,2,0.4,155,93,0.6,0
SAC_default,5,1,0.2,155,110,0.709677419354839,0.281818181818182
