agent,mode,seed,episodes,mean_reward_last50,wallclock_min,git_commit,git_dirty,model_sha256,created
PPO,optimized,0,1000,-0.426808,16.04,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 22:25:21
PPO,optimized,1,1000,-0.193481,16.07,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 22:26:17
PPO,optimized,2,1000,-0.426748,15.96,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 22:27:54
PPO,optimized,3,1000,-0.667117,15.97,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 22:28:06
PPO,optimized,4,1000,-0.676938,15.74,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 22:29:37
