config,nSuccess,K2_mean,K2_std,K4_mean,K4_std,T2_mean,T2_std
TRPO_default,5,0.0180413397876595,0.0105307826902889,0.0278000802824605,0.0116669523271097,8.528263607,0.0460519428772897
SAC_default,2,0.448036246555306,0.260552593550507,0.301781836432971,0.177870180386094,27.9449161066667,0.230166069204188
PPO_default,0,NaN,NaN,NaN,NaN,NaN,NaN
