config,seed,nEpisodes,nAbort,nAbortCollision,success,K1,K2,K3,K4,K5,K6,K7,K8,K9,T1,T2
PPO_default,0,31,31,0,0,-132.870362660226,2.45494571871058,3.07751392828588,0.182986869896014,0,0.00978352146033843,0.117539279274204,0.141720710946293,10.9707956899986,11.0508744727212,16.7099706
PPO_default,1,31,31,31,0,-136.9324372616,2.14548129350272,3.01667268366939,0.293661044838844,1,0,0.0482015169318843,0.312227132681893,3.76882577128779,12.7365180796953,17.4787649116667
PPO_default,2,31,31,0,0,-70.8302004659681,0.967037707954336,2.12767906276695,0.173692935836889,0,0.0103535353535353,0.0349914954944447,0.188387004840773,7.82999723330994,9.69562753308666,17.5258661016667
PPO_default,3,31,31,7,0,-80.0562444442807,1.27778388298807,2.51625359594156,0.132698073536182,0.233333333333333,0.0078730667940186,0.0858667564736278,0.098636913056345,7.24112996893557,10.0437111213323,17.31788491
PPO_default,4,31,31,0,0,-71.4949987514301,1.45800281596638,2.2577610077996,0.0724980848797394,0,0.00596555965559656,0.203521190975091,0.151812730014702,7.39882709768597,8.96483834863145,17.3609039166667
SAC_default,0,31,31,31,0,-61.9771030565386,0.397182731082828,1.74981337085472,0.349505494975686,1,0,0.108391480741743,0.194137802817494,1.00316663123604,15.5440788957452,27.9908064266667
SAC_default,1,31,0,0,1,-28.5608592016415,0.632274752310612,2.21655294803681,0.427555047154852,0,0,0.138586874551431,0.133097255534173,7.70590543698376,10.068124166962,28.107668095
SAC_default,2,31,0,0,1,-8.45460289204765,0.2637977408,0.890310485907197,0.176008625711089,0,0,0.144987670301449,0.0557208396375088,7.59422907336513,14.1013546266351,27.7821641183333
SAC_default,3,31,31,0,0,-20.6312577021636,0.155604545614536,0.66212773508106,0.154467620313724,0,0.00440402817359748,0.38866406964251,0.0905117116935446,5.48755042683322,9.37272637457599,27.51790217
SAC_default,4,31,31,4,0,-28.5289542708713,0.493887236034367,2.58266219489235,0.107980121648243,0.133333333333333,0.00329517260572036,0.0273972460425523,0.097678887275104,0.30704463359224,15.5419061263067,27.7857713033333
TRPO_default,0,31,0,0,1,-0.570352722014301,0.0165493494593484,0.213382811188252,0.0476426855906897,0,0,0.00962505492321484,0.0227338415115905,1.93559970173965,0.239190721050347,8.55896992
TRPO_default,1,31,0,0,1,-0.463039368594911,0.0152526371471774,0.21120088336033,0.021937415856624,0,0,0.00607294904319437,0.0184195310492454,0.575713796321781,0.232931478660849,8.58390296666667
TRPO_default,2,31,0,0,1,-1.00881636204718,0.0354166753965579,0.496742246011192,0.0283339294809436,0,0,0.00473132551484215,0.0128825298653838,0.786840055459372,0.195124165926463,8.48280765666667
TRPO_default,3,31,0,0,1,-0.463728621844748,0.0162872177262264,0.3217665841361,0.022862801654437,0,0,0.00909736613490501,0.011901231933756,2.14692868584256,0.21608988645263,8.48004932333333
TRPO_default,4,31,0,0,1,-0.199513964914231,0.0067008192089874,0.179119857342676,0.0182235688296084,0,0,0.0104310163935685,0.00632368304884077,1.58402757217274,0.157047501115606,8.53558816833333
