agent,mode,seed,episodes,mean_reward_last50,wallclock_min,git_commit,git_dirty,model_sha256,created
PPO,optimized,0,1000,-0.252998,15.33,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 22:10:12
PPO,optimized,1,1000,-0.224669,15.46,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 22:11:56
PPO,optimized,2,1000,-0.237106,15.47,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 22:12:07
PPO,optimized,3,1000,-0.323755,15.57,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 22:13:51
PPO,optimized,4,1000,-0.247611,15.59,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 22:14:03
