agent,mode,seed,episodes,mean_reward_last50,wallclock_min,git_commit,git_dirty,model_sha256,created
SAC,default,0,1000,-5.734687,27.99,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 18:32:20
SAC,default,1,1000,-5.979926,28.11,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 18:32:45
SAC,default,3,1000,-9.553659,27.52,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 18:59:20
SAC,default,2,1000,-16.187247,27.78,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 18:59:34
SAC,default,4,1000,-19.907309,27.79,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 18:59:42
TRPO,default,0,1000,-0.730454,8.56,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 19:43:26
TRPO,default,1,1000,-0.573180,8.58,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 19:43:32
TRPO,default,2,1000,-0.882307,8.48,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 19:44:01
TRPO,default,3,1000,-0.617314,8.48,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 19:44:04
TRPO,default,4,1000,-0.489999,8.54,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 19:51:09
PPO,default,0,1000,-12.792931,16.71,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 23:51:54
PPO,default,1,1000,-17.674231,17.48,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-21 00:06:45
PPO,default,2,1000,-10.851825,17.53,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-21 00:07:29
PPO,default,3,1000,-12.449330,17.32,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-21 00:08:23
PPO,default,4,1000,-11.343763,17.36,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-21 00:08:38
