config,nRuns,nSuccess,successRate,nEpisodes,nAbort,abortRate,abortCollisionShare
PPO_optimized,10,10,1,310,0,0,0
TRPO_default,10,10,1,310,0,0,0
PPO_default,10,1,0.1,310,279,0.9,0.236559139784946
