config,nSuccess,K1_mean,K1_std,K2_mean,K2_std,K3_mean,K3_std,K4_mean,K4_std,K5_mean,K5_std,K6_mean,K6_std,K7_mean,K7_std,K8_mean,K8_std,K9_mean,K9_std,T1_mean,T1_std,T2_mean,T2_std
PPO_optimized,10,-0.193307674452936,0.153929512035451,0.00590671122449721,0.00525948735278129,0.150478956198275,0.0128943239588191,0.0187718035019896,0.0110057127564115,0,0,0,0,0.0116790130713187,0.00193982193957263,0.0130759755858765,0.0055166807580278,3.41917865476935,1.84758979450499,0.119153937807854,0.108618274095661,7.296205625,0.0405146242311681
TRPO_default,10,-0.412320467644782,0.366335376360632,0.0125456281876838,0.0104625868708846,0.19417722508242,0.0553641628416286,0.0289923259230169,0.022811083573716,0,0,0,0,0.0104705274046268,0.00292747565013419,0.0198254710693662,0.0103645440708849,2.49074151286719,1.25574624778669,0.944614733573082,1.37360723502783,8.60390446216667,0.10927127162321
PPO_default,1,-2.42759338173899,NaN,0.052785973517066,NaN,0.415258285690624,NaN,0.128886342232529,NaN,0,NaN,0,NaN,0.402170307125152,NaN,0.0484253312714222,NaN,11.8187186310322,NaN,3.55254021256732,NaN,6.08156925333333,NaN
