agent,mode,seed,episodes,mean_reward_last50,wallclock_min,git_commit,git_dirty,model_sha256,created
PPO,optimized,0,1000,-0.397979,15.95,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 22:45:34
PPO,optimized,1,1000,-0.255289,16.02,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 22:45:53
PPO,optimized,2,1000,-0.277645,16.56,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 22:58:13
PPO,optimized,3,1000,-0.339544,16.58,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 22:59:11
PPO,optimized,4,1000,-1.047239,16.45,d875ed52e71435553238dd2a7171329ee0eaf921,1,81c0a18ebe3999c5527edbab1f64f8eb01e7211c7c7b22dab206b5e011734443,2026-09-20 23:00:35
